"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
859648,"05570","W0626","Koski (5570)",1-8-2009 15:00:48,1-8-2009 16:00:48,14.86,61.44,522.53,6815271.17,1449857.62,490.52,9.40,"3D",5,"Yes",3.38,0.30,29.00,2,"F"
859649,"05570","W0626","Koski (5570)",1-8-2009 15:30:31,1-8-2009 16:30:31,14.86,61.44,505.79,6815130.23,1450011.62,473.79,3.20,"3D",5,"Yes",3.38,0.24,28.00,2,"F"
859650,"05570","W0626","Koski (5570)",1-8-2009 16:01:12,1-8-2009 17:01:12,14.86,61.44,501.21,6815025.54,1450020.46,469.21,6.00,"3D",5,"Yes",3.38,0.26,28.00,2,"F"
859651,"05570","W0626","Koski (5570)",1-8-2009 16:30:36,1-8-2009 17:30:36,14.87,61.44,448.08,6814984.34,1450363.74,416.10,3.60,"3D",6,"Yes",3.38,0.18,26.00,2,"F"
859652,"05570","W0626","Koski (5570)",1-8-2009 17:01:12,1-8-2009 18:01:12,14.87,61.44,450.83,6815219.09,1450422.75,418.85,3.00,"3D",6,"Yes",3.38,0.22,26.00,2,"F"
859653,"05570","W0626","Koski (5570)",1-8-2009 17:30:53,1-8-2009 18:30:53,14.87,61.45,452.21,6815406.94,1450570.98,420.23,2.20,"3D",6,"Yes",3.36,0.26,26.00,2,"F"
859654,"05570","W0626","Koski (5570)",1-8-2009 18:00:34,1-8-2009 19:00:34,14.87,61.45,471.87,6815588.71,1450550.31,439.89,4.00,"3D",5,"Yes",3.38,0.24,25.00,2,"F"
859655,"05570","W0626","Koski (5570)",1-8-2009 18:30:47,1-8-2009 19:30:47,14.87,61.45,474.46,6815621.16,1450582.95,442.48,2.40,"3D",6,"Yes",3.38,0.22,25.00,2,"F"
859656,"05570","W0626","Koski (5570)",1-8-2009 19:00:29,1-8-2009 20:00:29,14.87,61.45,460.98,6815599.59,1450605.27,429.00,6.60,"3D",5,"Yes",3.38,0.24,25.00,2,"F"
859657,"05570","W0626","Koski (5570)",1-8-2009 19:31:15,1-8-2009 20:31:15,14.88,61.45,476.21,6815676.69,1450720.07,444.24,3.60,"3D",5,"Yes",3.36,0.24,23.00,2,"F"
859658,"05570","W0626","Koski (5570)",1-8-2009 20:00:26,1-8-2009 21:00:26,14.87,61.45,464.34,6815837.67,1450647.37,432.36,5.00,"3D",5,"Yes",3.38,0.30,23.00,2,"F"
859659,"05570","W0626","Koski (5570)",1-8-2009 20:30:48,1-8-2009 21:30:48,14.87,61.45,457.78,6815938.76,1450567.42,425.80,2.60,"3D",6,"Yes",3.38,0.30,23.00,2,"F"
859660,"05570","W0626","Koski (5570)",1-8-2009 21:00:16,1-8-2009 22:00:16,14.87,61.45,458.45,6815565.98,1450647.08,426.47,4.60,"3D",5,"Yes",3.38,0.14,20.00,2,"F"
859661,"05570","W0626","Koski (5570)",1-8-2009 21:30:53,1-8-2009 22:30:53,14.87,61.45,449.71,6815575.66,1450653.71,417.73,3.20,"3D",6,"Yes",3.38,0.10,20.00,2,"F"
859663,"05570","W0626","Koski (5570)",1-8-2009 22:33:09,1-8-2009 23:33:09,14.87,61.45,447.89,6815585.61,1450630.46,415.91,7.00,"3D",4,"No",3.36,0.12,24.00,2,"F"
859664,"05570","W0626","Koski (5570)",1-8-2009 23:00:54,2-8-2009 0:00:54,14.87,61.45,459.42,6815578.76,1450653.24,427.44,3.80,"3D",6,"Yes",3.38,0.10,21.00,2,"F"
859665,"05570","W0626","Koski (5570)",1-8-2009 23:30:43,2-8-2009 0:30:43,14.87,61.45,477.71,6815568.30,1450643.12,445.73,3.00,"3D",7,"Yes",3.38,0.08,19.00,2,"F"
859666,"05570","W0626","Koski (5570)",2-8-2009 0:00:29,2-8-2009 1:00:29,14.87,61.45,470.88,6815566.17,1450645.54,438.90,3.20,"3D",5,"Yes",3.40,0.08,19.00,2,"F"
859667,"05570","W0626","Koski (5570)",2-8-2009 0:30:53,2-8-2009 1:30:53,14.87,61.45,466.08,6815570.87,1450641.09,434.10,2.00,"3D",5,"Yes",3.38,0.10,18.00,2,"F"
859668,"05570","W0626","Koski (5570)",2-8-2009 1:00:31,2-8-2009 2:00:31,14.87,61.45,470.96,6815568.10,1450647.04,438.98,1.80,"3D",5,"Yes",3.38,0.08,17.00,2,"F"
859669,"05570","W0626","Koski (5570)",2-8-2009 1:30:41,2-8-2009 2:30:41,14.87,61.45,462.42,6815571.26,1450644.76,430.44,5.80,"3D",4,"Yes",3.38,0.08,16.00,2,"F"
859670,"05570","W0626","Koski (5570)",2-8-2009 2:00:29,2-8-2009 3:00:29,14.87,61.45,474.58,6815567.82,1450639.24,442.60,3.00,"3D",4,"Yes",3.40,0.06,18.00,2,"F"
859671,"05570","W0626","Koski (5570)",2-8-2009 2:31:02,2-8-2009 3:31:02,14.87,61.45,463.98,6815566.31,1450644.38,432.00,2.20,"3D",5,"Yes",3.40,0.08,18.00,2,"F"
859672,"05570","W0626","Koski (5570)",2-8-2009 3:00:49,2-8-2009 4:00:49,14.87,61.45,474.97,6815584.15,1450618.34,442.99,2.20,"3D",5,"Yes",3.40,0.06,17.00,2,"F"
859673,"05570","W0626","Koski (5570)",2-8-2009 3:30:25,2-8-2009 4:30:25,14.87,61.45,475.40,6815656.94,1450594.83,443.42,2.40,"3D",5,"Yes",3.40,0.10,21.00,2,"F"
859674,"05570","W0626","Koski (5570)",2-8-2009 4:00:41,2-8-2009 5:00:41,14.87,61.45,475.92,6815689.86,1450566.61,443.94,3.00,"3D",5,"Yes",3.38,0.18,22.00,2,"F"
859675,"05570","W0626","Koski (5570)",2-8-2009 4:30:23,2-8-2009 5:30:23,14.87,61.45,464.31,6815405.84,1450409.28,432.33,5.60,"3D",4,"Yes",3.38,0.28,22.00,2,"F"
859676,"05570","W0626","Koski (5570)",2-8-2009 5:01:12,2-8-2009 6:01:12,14.87,61.45,460.73,6815376.27,1450596.54,428.75,4.20,"3D",5,"Yes",3.36,0.30,23.00,2,"F"
859677,"05570","W0626","Koski (5570)",2-8-2009 5:31:50,2-8-2009 6:31:50,14.88,61.44,461.84,6815089.38,1450763.92,429.88,11.60,"2D",3,"No",3.34,0.34,24.00,2,"F"
859678,"05570","W0626","Koski (5570)",2-8-2009 6:01:18,2-8-2009 7:01:18,14.88,61.44,459.25,6814617.44,1450740.45,427.29,4.40,"3D",5,"Yes",3.36,0.36,23.00,2,"F"
859679,"05570","W0626","Koski (5570)",2-8-2009 6:30:54,2-8-2009 7:30:54,14.88,61.44,458.88,6814868.76,1451065.59,426.94,7.60,"3D",5,"Yes",3.36,0.30,22.00,2,"F"
859680,"05570","W0626","Koski (5570)",2-8-2009 7:01:12,2-8-2009 8:01:12,14.89,61.44,457.53,6814594.56,1451252.01,425.60,4.40,"3D",5,"Yes",3.36,0.44,24.00,2,"F"
859681,"05570","W0626","Koski (5570)",2-8-2009 7:30:26,2-8-2009 8:30:26,14.89,61.44,453.21,6814462.07,1451270.53,421.28,2.80,"3D",6,"Yes",3.38,0.42,25.00,2,"F"
859682,"05570","W0626","Koski (5570)",2-8-2009 8:01:46,2-8-2009 9:01:46,14.89,61.44,451.66,6814299.90,1451253.28,419.74,2.60,"2D",4,"No",3.36,0.40,26.00,2,"F"
859683,"05570","W0626","Koski (5570)",2-8-2009 8:30:58,2-8-2009 9:30:58,14.89,61.44,447.51,6814271.77,1451267.59,415.59,2.20,"3D",5,"Yes",3.38,0.12,24.00,2,"F"
859684,"05570","W0626","Koski (5570)",2-8-2009 9:00:47,2-8-2009 10:00:47,14.89,61.44,446.18,6814269.87,1451278.71,414.26,2.20,"3D",7,"Yes",3.38,0.10,21.00,2,"F"
859685,"05570","W0626","Koski (5570)",2-8-2009 9:30:30,2-8-2009 10:30:30,14.89,61.44,481.12,6814276.83,1451275.98,449.20,3.60,"3D",5,"Yes",3.40,0.08,19.00,2,"F"
859686,"05570","W0626","Koski (5570)",2-8-2009 10:00:46,2-8-2009 11:00:46,14.89,61.44,461.03,6814276.07,1451277.31,429.11,2.00,"3D",6,"Yes",3.40,0.08,21.00,2,"F"
859687,"05570","W0626","Koski (5570)",2-8-2009 10:30:54,2-8-2009 11:30:54,14.89,61.44,460.18,6814307.00,1451271.61,428.26,2.80,"3D",6,"Yes",3.38,0.12,25.00,2,"F"
859688,"05570","W0626","Koski (5570)",2-8-2009 11:00:53,2-8-2009 12:00:53,14.89,61.44,442.20,6814443.03,1451237.09,410.27,5.80,"3D",6,"Yes",3.38,0.20,28.00,2,"F"
859689,"05570","W0626","Koski (5570)",2-8-2009 11:30:20,2-8-2009 12:30:20,14.89,61.44,443.56,6814458.97,1451263.72,411.63,3.00,"3D",6,"Yes",3.40,0.30,28.00,2,"F"
